,setups,weeks,per_week,goes_again,stalls,reverses,base_goes,base_reverses,edge,edge_lo,edge_hi,edge_range_only,oc_mean_bps,oc_lo_bps,oc_hi_bps,oc_median_bps,oc_positive
ignition_sigma=2.5  volume_mult=2.0  min_hold=0.5,1882.0,128.0,14.703125,0.16524973432518597,0.6806588735387885,0.15409139213602552,0.16831063444843675,0.15442625841058535,-0.002726033848690925,-0.0208046151899132,0.015552253694257267,0.00785856035842566,-13.174094550846915,-25.517718371960182,-0.789057721245296,-4.3511497748560535,0.48831030818278426
ignition_sigma=2.5  volume_mult=2.0  min_hold=0.67,1729.0,127.0,13.5078125,0.17466743782533256,0.6836321573163678,0.1417004048582996,0.17796932157545725,0.14258932452621398,-0.0024129640822102816,-0.020797860273312208,0.016464813406184955,0.02487248010420661,-13.008818444910567,-25.682526413416166,-0.5176914993160637,-5.501537570087151,0.48582995951417
ignition_sigma=2.5  volume_mult=3.0  min_hold=0.33,927.0,128.0,7.2421875,0.16936353829557713,0.6666666666666666,0.16396979503775622,0.16447352473783416,0.15383717942919867,-0.005242602050814605,-0.03141491066741746,0.021310131552070125,-0.0006794664343764111,-15.177731076943985,-33.95878464870326,2.7455407136335985,-2.8189342076445896,0.4919093851132686
ignition_sigma=2.5  volume_mult=3.0  min_hold=0.5  (default),905.0,128.0,7.0703125,0.1723756906077348,0.6674033149171271,0.16022099447513813,0.16702559787905727,0.1513812459729892,-0.003489655773471402,-0.02979962145898429,0.023434948904285657,0.004598448459127103,-17.191125840724435,-35.8328726312035,0.8458257938539215,-2.9991572896690375,0.49060773480662984
ignition_sigma=2.5  volume_mult=3.0  min_hold=0.67,838.0,127.0,6.546875,0.17899761336515513,0.6682577565632458,0.15274463007159905,0.1754530606763417,0.14245226141639705,-0.006747815966388603,-0.03289621530387538,0.01941505716950026,0.014987664249455615,-16.890790520762696,-35.50252504391887,1.2882595255092313,-3.215571472754863,0.4892601431980907
ignition_sigma=2.5  volume_mult=4.0  min_hold=0.33,512.0,120.0,4.0,0.162109375,0.685546875,0.15234375,0.16265691387878947,0.15196605346565714,-0.000925235413132313,-0.03598823714889896,0.03279678670148877,0.0007023729507686007,-12.221341458874308,-35.902772363696705,9.372294096675907,1.7328202074651722,0.50390625
ignition_sigma=2.5  volume_mult=4.0  min_hold=0.5,500.0,119.0,3.90625,0.164,0.686,0.15,0.16532224323355232,0.14911885859815402,-0.0022033846353982874,-0.037921955704111894,0.033210057189641914,0.003109347762401177,-14.454931868782579,-37.49229231649196,8.010504702792808,1.2074266823079607,0.502
ignition_sigma=2.5  volume_mult=4.0  min_hold=0.67,467.0,115.0,3.6484375,0.1734475374732334,0.6873661670235546,0.139186295503212,0.172950690349042,0.1404562697420489,0.001766821363028317,-0.034442743692220376,0.03836747290692428,0.019502335947430817,-7.689355917539624,-32.09491759545693,16.044158905006366,3.5454279452906587,0.5096359743040685
ignition_sigma=3.0  volume_mult=2.0  min_hold=0.33,1356.0,128.0,10.59375,0.15265486725663716,0.6821533923303835,0.16519174041297935,0.15839900858653355,0.16143172173843018,-0.009504160004445589,-0.03156055446109699,0.012300663325082778,-0.00817098883362278,-12.602211968188398,-26.50195946027123,0.9505484734023221,1.7247867033094417,0.504424778761062
ignition_sigma=3.0  volume_mult=2.0  min_hold=0.5,1317.0,128.0,10.2890625,0.15641609719058466,0.6810933940774487,0.1624905087319666,0.16201469815996314,0.1583976098239959,-0.009691499877349172,-0.03219500159061174,0.012638797469834642,-0.0034532567316570744,-14.633398622542266,-28.59497810840946,-1.0615244877966703,0.7705867602184838,0.5026575550493546
ignition_sigma=3.0  volume_mult=2.0  min_hold=0.67,1215.0,127.0,9.4921875,0.16296296296296298,0.68559670781893,0.151440329218107,0.17053488493115504,0.14885219036331096,-0.010160060822988096,-0.0322590347837786,0.012563838110146688,0.010420232421941672,-14.467035017273412,-28.11667297607834,-0.7002627491820591,-0.7129886721700764,0.49794238683127573
ignition_sigma=3.0  volume_mult=3.0  min_hold=0.33,722.0,128.0,5.640625,0.15512465373961218,0.6745152354570637,0.1703601108033241,0.15785184974298588,0.15615492594993197,-0.01693238085676582,-0.04649581105293317,0.013704577411918082,-0.01634937618700446,-20.962136008227933,-40.86655557061593,-1.619273648131177,-2.5631389699360376,0.4916897506925208
ignition_sigma=3.0  volume_mult=3.0  min_hold=0.5,711.0,128.0,5.5546875,0.15752461322081576,0.6736990154711674,0.16877637130801687,0.15940953288389104,0.15436983078387922,-0.016291460187212926,-0.046463526974704114,0.014562950726436286,-0.013670001859874483,-23.092022355559685,-42.965562094695834,-3.841850781390073,-2.9991572896690375,0.4908579465541491
ignition_sigma=3.0  volume_mult=3.0  min_hold=0.67,661.0,127.0,5.1640625,0.16187594553706505,0.6777609682299546,0.16036308623298035,0.1662137314639716,0.14896657789252007,-0.01573429426736682,-0.04575649553088381,0.01487003367894009,-0.0013747571520564047,-21.331037818450163,-41.39994316602651,-2.295130139463445,-2.9991572896690375,0.49016641452344933
ignition_sigma=3.0  volume_mult=4.0  min_hold=0.33,423.0,114.0,3.3046875,0.14893617021276595,0.6926713947990544,0.15839243498817968,0.15418716074144337,0.15400087924590905,-0.009642546270948014,-0.04562769534198815,0.027317394493222364,-0.00927401934713688,-13.389614101531043,-37.58742543654344,10.99681211327266,1.6870394551354948,0.5011820330969267
ignition_sigma=3.0  volume_mult=4.0  min_hold=0.5,416.0,114.0,3.25,0.15144230769230768,0.6923076923076923,0.15625,0.15651048991408686,0.1513083945193636,-0.010009787702415587,-0.046563193341718434,0.027541255762507353,-0.0068859540704419445,-15.83012780376546,-40.27187676185589,8.987249089235805,0.7933455387703703,0.5
ignition_sigma=3.0  volume_mult=4.0  min_hold=0.67,391.0,111.0,3.0546875,0.1585677749360614,0.6956521739130435,0.14578005115089515,0.1624936091641107,0.14659715469674964,-0.0031087306821948615,-0.04003248027795914,0.0363038947011672,0.010957439897849188,-8.831734787634673,-34.26485841742396,15.780043125912746,1.785247196343321,0.5063938618925832
