date,ticker,direction,ignition_sigma,rel_volume,max_quiet_sigma,hold,range_lo,range_hi,close,close_loc,volume_ratio,consol_excess,beta,consol_days,vote_close,vote_volume,vote_strength,votes,lean,outcome,open_to_close,close_to_close,gap,third,base_up,base_down,base_up_all,base_down_all,base_go,base_rev,base_go_all,base_rev_all
2016-04-07,MAR,-1.0,-4.213319187149688,4.40225695915921,0.5082641783409557,1.3950618566123014,59.050311433042914,61.09092608555264,59.43122100830078,0.18666413807692284,0.2619740468345169,-0.007805479487814123,1.1223732585695503,4,True,True,True,3,Goes,stalls,-0.01322771697371769,-0.012844033524722832,-0.007172386530866159,0.0,0.002188183807439825,0.11597374179431072,0.08452535760728218,0.08192457737321196,0.11597374179431072,0.002188183807439825,0.08192457737321196,0.08452535760728218
2016-04-07,MRVL,1.0,7.678542963722207,4.833899567180155,0.45170150375968926,0.8492046263476379,9.803222574918246,10.163567560177636,9.877142906188965,0.20513767166069466,0.3302548475920898,-0.016181080995644664,1.031348638850932,2,False,True,False,1,Leans stalls,reverses,-0.02170690251986202,-0.018683967501265684,0.010289901380369448,0.0,0.05357142857142857,0.1377551020408163,0.18335500650195058,0.09102730819245773,0.05357142857142857,0.1377551020408163,0.18335500650195058,0.09102730819245773
2016-04-21,EAT,-1.0,-6.087355728298518,5.7785006653851845,0.8005973430242919,0.8422700071423123,38.0919943907023,39.558404060393286,39.02043151855469,0.633136255878643,0.38832309791879904,0.014445446940298921,0.7323383090495189,2,False,True,False,1,Leans stalls,stalls,0.006824868776300536,0.0077830890533281405,0.002446161000195013,1.0,0.14553990610328638,0.07511737089201878,0.14921465968586387,0.11518324607329843,0.07511737089201878,0.14553990610328638,0.11518324607329843,0.14921465968586387
2016-04-21,HAS,1.0,4.123985809601732,3.5845219737856593,0.6472571810958854,0.9203318023799366,60.03928038040667,62.40055171354123,61.18111801147461,0.483569005833887,0.42837809982165104,-0.0033711698104441374,0.8665979582520056,3,False,True,False,1,Leans stalls,stalls,0.004237923341687008,0.0072582673073762205,0.0012675213863821977,1.0,0.07692307692307693,0.07211538461538461,0.12696335078534032,0.09947643979057591,0.07692307692307693,0.07211538461538461,0.12696335078534032,0.09947643979057591
2016-04-21,SSYS,-1.0,-2.81628695209109,4.327695787999569,0.7483418395780577,0.5322994881702517,25.110000610351562,27.829999923706055,27.290000915527344,0.801470902758153,0.2794655747498382,0.058817374854876175,2.01734291420617,4,False,True,False,1,Leans stalls,stalls,0.029350943449845516,0.03957500164245842,0.014657439078769485,2.0,0.332,0.0,0.1256544502617801,0.07853403141361257,0.0,0.332,0.07853403141361257,0.1256544502617801
2016-04-28,ICLR,-1.0,-5.241918431921295,3.531927531927532,0.38086711348439917,1.193951052368644,66.75,68.9800033569336,67.13999938964844,0.17488735540950628,0.4503868146653212,-0.009793356873312165,0.8844100851134107,2,True,True,True,3,Goes,stalls,-0.01228613635053431,-0.011328430762743188,0.00402139775872612,0.0,0.024070021881838075,0.5908096280087527,0.08600770218228498,0.4300385109114249,0.5908096280087527,0.024070021881838075,0.4300385109114249,0.08600770218228498
2016-04-28,WHR,-1.0,-3.2381147244404818,3.568243785084202,0.841116599606677,1.7034825543348417,116.06585406648644,121.33949774144241,116.52587890625,0.08723092952756285,0.32428383075632267,-0.01843390331873069,1.0843798374526115,2,True,True,True,3,Goes,stalls,0.0016159441980267111,-0.002192739442345361,7.741273555517125e-08,0.0,0.024070021881838075,0.5908096280087527,0.08600770218228498,0.4300385109114249,0.5908096280087527,0.024070021881838075,0.4300385109114249,0.08600770218228498
2016-04-28,SAM,-1.0,-3.363843734163327,7.057301293900185,0.4043485577083162,1.28776991053296,154.82000732421875,160.9499969482422,155.41000366210938,0.09624752635443763,0.21856993190151913,-0.01761257612993782,1.0578558294838025,4,True,True,True,3,Goes,stalls,-0.006242339480325005,-0.010022521366568945,-6.431057589884048e-05,0.0,0.01764705882352941,0.5411764705882353,0.0821566110397946,0.29653401797175866,0.5411764705882353,0.01764705882352941,0.29653401797175866,0.0821566110397946
2016-04-28,CNI,-1.0,-3.9322621242010065,3.908289563827358,0.7831095667358783,0.851349107123273,50.7858248666254,52.38984394058616,51.559043884277344,0.4820510118640026,0.3323867620249614,0.013384071922917993,0.9008692528456061,2,False,True,False,1,Leans stalls,goes again,0.01569866003816351,0.01300487941377878,0.0004787495032496647,1.0,0.058823529411764705,0.28054298642533937,0.08600770218228498,0.4300385109114249,0.28054298642533937,0.058823529411764705,0.4300385109114249,0.08600770218228498
2016-04-28,TMUS,-1.0,-2.923509737692322,3.4162751793203014,0.9584573793458337,0.767569056340258,37.461774623111516,38.14635002093628,37.80406188964844,0.49999936840344683,0.3976562290375379,0.021734056356237208,1.5392422018561465,2,False,True,False,1,Leans stalls,goes again,0.00014180984579703973,0.0037621642336359996,0.009054344760844435,1.0,0.058823529411764705,0.28054298642533937,0.08600770218228498,0.4300385109114249,0.28054298642533937,0.058823529411764705,0.4300385109114249,0.08600770218228498
