,stocks_break_above,stocks_break_below,setups_go_again,setups_reverse
bottom (against the move),0.039378282586279775,0.29595933439195476,0.03759398496240601,0.3082706766917293
middle,0.13312044609825038,0.1221264315476095,0.11884057971014493,0.14492753623188406
top (with the move),0.331470285848497,0.03944027498476243,0.35714285714285715,0.04421768707482993
